선수명,팀명,포지션,역할군,평가점수_Raw,경기수,AI평점
김동민,인천 유나이티드,CB,DF(통곡의벽),7.088235294117647,17,70
정동윤,인천 유나이티드,CB,DF(통곡의벽),4.357142857142857,28,62
김보섭,인천 유나이티드,LW,WING(크랙),0.026635325649803882,21,68
무고사,인천 유나이티드,CF,ST(해결사),19.87878787878788,33,81
김진수,전북 현대 모터스,LB,DF(통곡의벽),3.625,20,59
최철순,전북 현대 모터스,RB,DF(통곡의벽),6.4,5,68
홍정호,전북 현대 모터스,CB,DF(통곡의벽),8.733333333333333,15,75
한교원,전북 현대 모터스,RF,ST(해결사),10.2,15,66
진성욱,제주SK FC,CF,ST(해결사),13.875,16,72
이명재,울산 HD FC,LB,DF(통곡의벽),2.7708333333333335,24,57
임종은,울산 HD FC,CB,DF(통곡의벽),10.91304347826087,23,82
박동진,FC서울,CF,ST(해결사),6.9375,16,60
윤종규,FC서울,RB,DF(통곡의벽),1.1111111111111112,9,51
황현수,FC서울,CB,DF(통곡의벽),6.166666666666667,3,67
조영욱,FC서울,CF,ST(해결사),9.791666666666666,24,65
한국영,강원FC,CM,MF(사령관),40.083333333333336,6,67
최영은,대구FC,GK,GK(수호신),61.54545454545455,11,75
김진혁,대구FC,CB,DF(통곡의벽),12.258064516129032,31,86
고재현,대구FC,RW,WING(크랙),1.0639473933736465,30,70
장성원,대구FC,RB,DF(통곡의벽),3.230769230769231,26,58
세징야,대구FC,LW,WING(크랙),3.2922550365703893,28,74
에드가,대구FC,CF,ST(해결사),16.53846153846154,26,76
정치인,대구FC,CM,MF(사령관),32.72222222222222,9,63
안영규,광주FC,CB,DF(통곡의벽),8.204545454545455,22,74
이으뜸,광주FC,LF,ST(해결사),8.0,3,62
두현석,광주FC,LW,WING(크랙),2.6789873907442243,17,72
강윤성,대전 하나 시티즌,LB,DF(통곡의벽),7.633333333333334,15,72
서진수,제주SK FC,RW,WING(크랙),2.718350445277235,33,73
이희균,광주FC,CM,MF(사령관),46.5625,24,71
문선민,전북 현대 모터스,RF,ST(해결사),16.208333333333332,24,75
이동경,울산 HD FC,CM,MF(사령관),49.0625,8,72
지언학,인천 유나이티드,RF,ST(해결사),0.5,4,50
김주성,FC서울,CB,DF(통곡의벽),12.525,20,87
백종범,FC서울,GK,GK(수호신),55.875,16,68
안병준,수원FC,CF,ST(해결사),6.8,5,60
김주엽,수원FC,LF,ST(해결사),7.125,16,61
전민광,포항 스틸러스,RB,DF(통곡의벽),9.722222222222221,27,78
완델손,포항 스틸러스,LB,DF(통곡의벽),8.136363636363637,33,73
주민규,울산 HD FC,CF,ST(해결사),18.896551724137932,29,80
윤석영,강원FC,CB,DF(통곡의벽),5.529411764705882,17,65
이광연,강원FC,GK,GK(수호신),48.52,25,59
허용준,포항 스틸러스,CF,ST(해결사),9.695652173913043,23,65
김정훈,전북 현대 모터스,GK,GK(수호신),56.333333333333336,6,69
김도혁,인천 유나이티드,LW,WING(크랙),0.9920855176801646,23,70
김진야,FC서울,RW,WING(크랙),-0.6642240721753991,13,67
설영우,울산 HD FC,LB,DF(통곡의벽),0.9444444444444444,9,51
조현우,울산 HD FC,GK,GK(수호신),59.42424242424242,33,73
원두재,울산 HD FC,CM,MF(사령관),55.7,5,76
황인재,포항 스틸러스,GK,GK(수호신),62.62068965517241,29,76
한승규,FC서울,CM,MF(사령관),44.93333333333333,15,70
최규백,수원FC,CB,DF(통곡의벽),8.642857142857142,21,75
김민준,울산 HD FC,RW,WING(크랙),-2.534059184745649,5,63
김영빈,강원FC,CB,DF(통곡의벽),8.595238095238095,21,75
이민기,광주FC,LB,DF(통곡의벽),9.7,10,78
허율,광주FC,CF,ST(해결사),24.555555555555557,27,89
안창민,대구FC,CF,ST(해결사),4.714285714285714,7,57
정운,제주SK FC,CB,DF(통곡의벽),6.333333333333333,21,68
구자룡,전북 현대 모터스,CB,DF(통곡의벽),5.076923076923077,13,64
이수빈,전북 현대 모터스,CM,MF(사령관),69.95652173913044,23,84
김민석,인천 유나이티드,LF,ST(해결사),6.0,4,59
김연수,인천 유나이티드,CB,DF(통곡의벽),9.833333333333334,12,79
김준엽,인천 유나이티드,CB,DF(통곡의벽),2.9583333333333335,12,57
문지환,인천 유나이티드,CM,MF(사령관),53.05555555555556,18,74
김기희,울산 HD FC,CB,DF(통곡의벽),10.666666666666666,18,81
이청용,울산 HD FC,LW,WING(크랙),1.1669634134979592,18,70
기성용,FC서울,CDM,MF(사령관),94.75,16,97
오반석,인천 유나이티드,CB,DF(통곡의벽),9.291666666666666,12,77
이준서,대전 하나 시티즌,GK,GK(수호신),70.66666666666667,3,86
신상은,대전 하나 시티즌,RW,WING(크랙),4.70309502816108,6,76
김동현,강원FC,CM,MF(사령관),72.1,10,85
황문기,강원FC,CM,MF(사령관),67.83333333333333,33,83
이용래,대구FC,CM,MF(사령관),12.5,14,52
김지현,울산 HD FC,CF,ST(해결사),8.5,6,63
송주훈,제주SK FC,CF,ST(해결사),30.73913043478261,23,99
신광훈,포항 스틸러스,RB,DF(통곡의벽),3.54,25,59
팔로세비치,FC서울,CM,MF(사령관),40.666666666666664,21,68
이현식,대전 하나 시티즌,RW,WING(크랙),-2.0105734902771877,5,64
임덕근,대전 하나 시티즌,CM,MF(사령관),47.476190476190474,21,71
김대우,강원FC,CM,MF(사령관),50.5,13,73
송준석,강원FC,LWB,DF(통곡의벽),5.777777777777778,18,66
엄지성,광주FC,LM,WING(크랙),3.153190677040809,15,73
백상훈,FC서울,RB,DF(통곡의벽),1.6666666666666667,3,53
강성진,FC서울,RW,WING(크랙),5.602462197582939,20,78
