팀명,경기수,Real_Goals_Total,Real_Goals_PerGame,Shot_OnTarget_Total,Aerial Clearance_PerGame,Aerial Clearance_Success,Aerial Clearance_SuccessRate(%),Aerial Clearance_Total,Ball Received_PerGame,Ball Received_Total,Block_PerGame,Block_Total,Carry_PerGame,Carry_Total,Catch_PerGame,Catch_Total,Clearance_PerGame,Clearance_Total,Cross_PerGame,Cross_Success,Cross_SuccessRate(%),Cross_Total,Defensive Line Support_PerGame,Defensive Line Support_Success,Defensive Line Support_SuccessRate(%),Defensive Line Support_Total,Deflection_PerGame,Deflection_Total,Duel_PerGame,Duel_Success,Duel_SuccessRate(%),Duel_Total,Error_PerGame,Error_Total,Foul_PerGame,Foul_Success,Foul_SuccessRate(%),Foul_Throw_PerGame,Foul_Throw_Total,Foul_Total,Goal Kick_PerGame,Goal Kick_Success,Goal Kick_SuccessRate(%),Goal Kick_Total,Goal Miss_PerGame,Goal Miss_Total,Goal Post_PerGame,Goal Post_Total,Goal_PerGame,Goal_Total,Handball_Foul_PerGame,Handball_Foul_Success,Handball_Foul_SuccessRate(%),Handball_Foul_Total,Hit_PerGame,Hit_Total,Interception_PerGame,Interception_Total,Intervention_PerGame,Intervention_Total,Offside_PerGame,Offside_Total,Out_PerGame,Out_Total,Own Goal_PerGame,Own Goal_Total,Parry_PerGame,Parry_Total,Pass Received_PerGame,Pass Received_Total,Pass_Corner_PerGame,Pass_Corner_Success,Pass_Corner_SuccessRate(%),Pass_Corner_Total,Pass_Freekick_PerGame,Pass_Freekick_Success,Pass_Freekick_SuccessRate(%),Pass_Freekick_Total,Pass_PerGame,Pass_Success,Pass_SuccessRate(%),Pass_Total,Pause_PerGame,Pause_Total,Penalty Kick_PerGame,Penalty Kick_Success,Penalty Kick_SuccessRate(%),Penalty Kick_Total,Recovery_PerGame,Recovery_Total,Shot_Freekick_PerGame,Shot_Freekick_Success,Shot_Freekick_SuccessRate(%),Shot_Freekick_Total,Shot_OnTarget_PerGame,Shot_OnTarget_Rate(%),Shot_PerGame,Shot_Success,Shot_SuccessRate(%),Shot_Total,Tackle_PerGame,Tackle_Success,Tackle_SuccessRate(%),Tackle_Total,Take-On_PerGame,Take-On_Success,Take-On_SuccessRate(%),Take-On_Total,Throw-In_PerGame,Throw-In_Success,Throw-In_SuccessRate(%),Throw-In_Total
강원FC,33,53,1.61,145,1,29,87.9,33,4.76,157,17.21,568,240.58,7939,2.27,75,23.36,771,12.82,71,16.8,423,0.91,28,93.3,30,0.06,2,26.15,863,100,863,6.39,211,11.64,0,0,0.03,1,384,7.06,163,70,233,0.12,4,0.24,8,1.67,55,0.45,0,0,15,1.3,43,33.67,1111,21.42,707,1.03,34,28.39,937,0.09,3,1.58,52,424.21,13999,4.36,63,43.8,144,10.85,288,80.4,358,449.24,12929,87.2,14825,0.94,31,0.15,4,80,5,69.09,2280,0.55,4,22.2,18,4.39,39.1,11.24,145,39.1,371,22.3,248,33.7,736,3.85,38,29.9,127,18.09,514,86.1,597
FC서울,33,49,1.48,139,1.76,52,89.7,58,4.79,158,16.42,542,228.55,7542,2.82,93,25.36,837,14.88,101,20.6,491,0.76,22,88,25,0.09,3,28.52,941,100,941,6.18,204,10.55,0,0,0,0,348,7.24,155,64.9,239,0.18,6,0.21,7,1.48,49,0.39,0,0,13,1.48,49,33.97,1121,20.79,686,1.39,46,28.79,950,0.09,3,1.67,55,453.36,14961,4.27,48,34,141,12.18,304,75.6,402,480.88,13835,87.2,15869,1.27,42,0.09,2,66.7,3,74.06,2444,0.09,2,66.7,3,4.21,40.2,10.48,139,40.2,346,24.27,249,31.1,801,3.18,36,34.3,105,19.7,546,84,650
울산 HD FC,33,49,1.48,159,1.03,33,97.1,34,4.91,162,16.79,554,254.06,8384,2,66,21.21,700,17.24,102,17.9,569,0.58,16,84.2,19,0.09,3,27.24,899,100,899,5.79,191,10.03,0,0,0,0,331,6.64,186,84.9,219,0.21,7,0.15,5,1.55,51,0.39,,,13,1.12,37,32.73,1080,22.18,732,1.91,63,26.94,889,0,0,2.42,80,492.61,16256,4.76,59,37.6,157,10.91,289,80.3,360,523.39,15152,87.7,17272,1.12,37,0.09,3,100,3,74.94,2473,0.24,3,37.5,8,4.82,42.5,11.33,159,42.5,374,23.06,245,32.2,761,3.55,40,34.2,117,17.76,497,84.8,586
포항 스틸러스,33,48,1.45,125,1.42,44,93.6,47,4.24,140,16.45,543,231.76,7648,2.94,97,20.7,683,16.24,101,18.8,536,0.85,26,92.9,28,0.06,2,27.58,910,100,910,6.42,212,8.91,0,0,0,0,294,8.18,212,78.5,270,0.39,13,0.09,3,1.48,49,0.33,,,11,1.09,36,32.33,1067,21.39,706,1.39,46,28.55,942,0.03,1,1.79,59,453.3,14959,4.42,52,35.6,146,10.85,277,77.4,358,477.76,13813,87.6,15766,1.21,40,0.15,5,100,5,69.85,2305,0.36,3,25,12,3.79,35.4,10.7,125,35.4,353,23.76,260,33.2,784,3.45,32,28.1,114,18,524,88.2,594
김천 상무 프로축구단,33,47,1.42,144,2,60,90.9,66,4.36,144,17.85,589,217.36,7173,3.03,100,25.24,833,17.45,118,20.5,576,0.79,25,96.2,26,0,0,27.48,907,100,907,7.15,236,10.3,0,0,0.06,2,340,7.21,136,57.1,238,0.27,9,0.24,8,1.45,48,0.27,,,9,1.48,49,36.52,1205,24.3,802,1.24,41,33.45,1104,0.09,3,1.79,59,407.91,13461,4.79,84,53.2,158,11.18,271,73.4,369,437.27,12369,85.7,14430,1.15,38,0.21,7,100,7,78.45,2589,0.18,3,50,6,4.36,33.6,13,144,33.6,429,25.91,244,28.5,855,3.97,45,34.4,131,20.42,512,76,674
수원FC,33,46,1.39,134,1.15,33,86.8,38,3.94,130,17.09,564,231.73,7647,2.27,75,26.09,861,15.82,108,20.7,522,0.52,13,76.5,17,0.06,2,25.97,855,99.8,857,6.18,204,9.91,0,0,0,0,327,7.45,150,61,246,0.36,12,0.09,3,1.39,46,0.33,0,0,11,1.7,56,36.06,1190,21.18,699,1.3,43,31.73,1047,0.06,2,1.55,51,434.03,14323,4.27,68,48.2,141,10.21,266,78.9,337,461.82,13245,86.9,15240,0.94,31,0.09,3,100,3,74.79,2468,0.64,7,33.3,21,4.06,33.3,12.21,134,33.3,403,22.03,228,31.4,727,3.7,35,28.7,122,18.45,513,84.2,609
전북 현대 모터스,33,44,1.33,100,1.27,36,85.7,42,4.64,153,16,528,205.61,6785,2.82,93,24.97,824,16.09,114,21.5,531,0.73,22,91.7,24,0.15,5,27.18,897,100,897,6.85,226,10.27,0,0,0,0,339,8.64,216,75.8,285,0.15,5,0.09,3,1.36,45,0.39,0,0,13,1.42,47,34.06,1124,22.27,735,1.73,57,30,990,0,0,2.33,77,415.67,13717,4,58,43.9,132,10.45,262,75.9,345,444.33,12603,86,14663,1.33,44,0.15,4,80,5,73.42,2423,0.3,2,20,10,3.03,29.9,10.15,100,29.9,335,25.7,255,30.1,848,2.91,23,24,96,17.76,496,84.6,586
대구FC,33,39,1.18,137,2.61,81,94.2,86,4.3,142,18.67,616,190,6270,4.18,138,26.67,880,16.39,113,20.9,541,1.39,43,93.5,46,0.06,2,30.97,1022,100,1022,5.39,178,10.24,0,0,0.03,1,338,8.88,158,53.9,293,0.18,6,0.21,7,1.18,39,0.24,,,8,1.73,57,37.09,1224,23.64,780,1.09,36,32.27,1065,0.03,1,2.36,78,353.67,11671,3.94,64,49.2,130,10.52,245,70.6,347,381.67,10560,83.8,12595,0.91,30,0.06,2,100,2,78.88,2603,0.48,2,12.5,16,4.15,34.9,11.91,137,34.9,393,27.48,291,32.1,907,4.42,41,28.1,146,18.73,561,90.8,618
광주FC,33,36,1.09,128,1.33,39,88.6,44,3.94,130,17.39,574,293.61,9689,2.09,69,24.33,803,16.09,102,19.2,531,0.67,20,90.9,22,0.06,2,26.3,868,100,868,7.36,243,10.79,0,0,0.03,1,356,6.79,172,76.8,224,0.06,2,0.15,5,1.12,37,0.58,0,0,19,1.76,58,32.97,1088,19,627,1.45,48,30.3,1000,0.06,2,2.24,74,452.88,14945,4.7,76,49,155,11.73,312,80.6,387,470.45,13838,89.1,15525,0.7,23,0.12,4,100,4,72.55,2394,0.45,4,26.7,15,3.88,34.9,11.12,128,34.9,367,20.52,216,31.9,677,4.45,36,24.5,147,16.55,476,87.2,546
대전 하나 시티즌,33,32,0.97,100,1.61,49,92.5,53,4.24,140,17.79,587,195.67,6457,3.09,102,26.33,869,12.67,73,17.5,418,0.67,20,90.9,22,0.18,6,32.52,1072,99.9,1073,6.85,226,10.94,0,0,0.03,1,361,8.36,183,66.3,276,0.15,5,0.18,6,1,33,0.3,,,10,1.7,56,36.52,1205,24.58,811,1.15,38,31.03,1024,0,0,2.3,76,382.76,12631,3.33,37,33.6,110,10.94,239,66.2,361,417.33,11601,84.2,13772,1,33,0.09,3,100,3,75.42,2489,0.36,6,50,12,3.03,36,8.42,100,36,278,25.24,238,28.6,833,3.12,36,35,103,19.73,532,81.7,651
